
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
      Lambda[0,1]      0.19      0.06      0.19      0.09      0.29    344.20      1.00
      Lambda[0,2]     -0.95      0.03     -0.95     -0.98     -0.91     18.15      1.03
      Lambda[0,3]      0.04      0.07      0.04     -0.07      0.14    461.03      1.00
      Lambda[0,4]     -0.30      0.06     -0.31     -0.39     -0.19    408.09      1.00
      Lambda[1,0]      0.19      0.06      0.19      0.09      0.29    344.20      1.00
      Lambda[1,1]      1.00      0.00      1.00      1.00      1.00    801.59      1.00
      Lambda[1,2]     -0.10      0.06     -0.10     -0.20      0.01    785.26      1.00
      Lambda[1,3]      0.91      0.02      0.91      0.88      0.94    423.08      1.00
      Lambda[1,4]      0.50      0.05      0.50      0.42      0.58    606.33      1.00
      Lambda[2,0]     -0.95      0.03     -0.95     -0.98     -0.91     18.15      1.03
      Lambda[2,1]     -0.10      0.06     -0.10     -0.20      0.01    785.26      1.00
      Lambda[2,2]      1.00      0.00      1.00      1.00      1.00     14.36      1.00
      Lambda[2,3]      0.06      0.07      0.06     -0.06      0.17    708.53      1.00
      Lambda[2,4]      0.34      0.06      0.35      0.24      0.45    504.51      1.02
      Lambda[3,0]      0.04      0.07      0.04     -0.07      0.14    461.03      1.00
      Lambda[3,1]      0.91      0.02      0.91      0.88      0.94    423.08      1.00
      Lambda[3,2]      0.06      0.07      0.06     -0.06      0.17    708.53      1.00
      Lambda[3,3]      1.00      0.00      1.00      1.00      1.00    911.58      1.00
      Lambda[3,4]      0.24      0.06      0.25      0.15      0.36    574.89      1.00
      Lambda[4,0]     -0.30      0.06     -0.31     -0.39     -0.19    408.09      1.00
      Lambda[4,1]      0.50      0.05      0.50      0.42      0.58    606.33      1.00
      Lambda[4,2]      0.34      0.06      0.35      0.24      0.45    504.51      1.02
      Lambda[4,3]      0.24      0.06      0.25      0.15      0.36    574.89      1.00
      Lambda[4,4]      1.00      0.00      1.00      1.00      1.00    997.60      1.00
Lambda_alpha[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
Lambda_alpha[0,1]      0.14      0.16      0.15     -0.11      0.41    360.60      1.00
Lambda_alpha[0,2]      0.30      0.20      0.30      0.01      0.67    160.45      1.00
Lambda_alpha[0,3]     -0.63      0.14     -0.64     -0.89     -0.44    146.87      1.02
Lambda_alpha[0,4]     -0.54      0.13     -0.55     -0.72     -0.31    272.42      1.00
Lambda_alpha[1,0]      0.14      0.16      0.15     -0.11      0.41    360.60      1.00
Lambda_alpha[1,1]      1.00      0.00      1.00      1.00      1.00    349.87      1.00
Lambda_alpha[1,2]     -0.55      0.13     -0.56     -0.74     -0.34    383.43      1.00
Lambda_alpha[1,3]      0.34      0.12      0.35      0.16      0.54    652.40      1.00
Lambda_alpha[1,4]      0.54      0.08      0.55      0.40      0.66    780.67      1.00
Lambda_alpha[2,0]      0.30      0.20      0.30      0.01      0.67    160.45      1.00
Lambda_alpha[2,1]     -0.55      0.13     -0.56     -0.74     -0.34    383.43      1.00
Lambda_alpha[2,2]      1.00      0.00      1.00      1.00      1.00    759.57      1.00
Lambda_alpha[2,3]     -0.59      0.14     -0.60     -0.83     -0.38    254.29      1.00
Lambda_alpha[2,4]     -0.66      0.12     -0.67     -0.86     -0.48    230.57      1.00
Lambda_alpha[3,0]     -0.63      0.14     -0.64     -0.89     -0.44    146.87      1.02
Lambda_alpha[3,1]      0.34      0.12      0.35      0.16      0.54    652.40      1.00
Lambda_alpha[3,2]     -0.59      0.14     -0.60     -0.83     -0.38    254.29      1.00
Lambda_alpha[3,3]      1.00      0.00      1.00      1.00      1.00    930.40      1.00
Lambda_alpha[3,4]      0.90      0.05      0.91      0.82      0.97     77.98      1.01
Lambda_alpha[4,0]     -0.54      0.13     -0.55     -0.72     -0.31    272.42      1.00
Lambda_alpha[4,1]      0.54      0.08      0.55      0.40      0.66    780.67      1.00
Lambda_alpha[4,2]     -0.66      0.12     -0.67     -0.86     -0.48    230.57      1.00
Lambda_alpha[4,3]      0.90      0.05      0.91      0.82      0.97     77.98      1.01
Lambda_alpha[4,4]      1.00      0.00      1.00      1.00      1.00    990.84      1.00
     W_tilde[0,0]     -4.02      2.07     -3.92     -7.21     -0.66    774.16      1.00
     W_tilde[0,1]     -0.84      5.96      0.98     -9.65      6.72    353.36      1.00
     W_tilde[0,2]      3.51      1.14      3.45      1.73      5.38    524.02      1.00
     W_tilde[0,3]      0.62      2.61      1.38     -3.52      4.14    365.12      1.00
     W_tilde[0,4]      0.00      1.96      0.42     -2.82      2.92    947.72      1.00
     W_tilde[1,0]     -2.76      1.63     -2.61     -5.43     -0.34    590.95      1.01
     W_tilde[1,1]      1.06      3.48      1.66     -3.67      6.48    407.55      1.00
     W_tilde[1,2]      1.84      0.88      1.88      0.30      3.17    781.46      1.00
     W_tilde[1,3]     -2.04      1.77     -1.81     -4.88      0.72    409.59      1.00
     W_tilde[1,4]      6.39      1.79      6.28      3.47      9.13    596.20      1.00
     W_tilde[2,0]      4.42      1.41      4.32      2.21      6.86    761.50      1.00
     W_tilde[2,1]      8.59      2.47      8.44      4.58     12.48    565.75      1.00
     W_tilde[2,2]     -3.25      1.58     -3.12     -5.74     -0.62   1015.30      1.00
     W_tilde[2,3]      3.49      1.23      3.45      1.56      5.42    474.96      1.00
     W_tilde[2,4]     -0.36      1.80     -0.10     -3.36      2.28   1374.26      1.00
     W_tilde[3,0]      0.49      1.34      0.64     -1.63      2.73    996.25      1.00
     W_tilde[3,1]     14.45      3.42     14.05      8.72     19.58    410.92      1.01
     W_tilde[3,2]     -0.22      1.25     -0.09     -2.23      1.70    657.03      1.00
     W_tilde[3,3]      5.56      1.69      5.49      2.49      7.91    595.96      1.01
     W_tilde[3,4]      3.01      1.23      2.95      0.83      4.77    695.76      1.00
     W_tilde[4,0]      7.65      2.00      7.46      4.32     10.74    557.66      1.00
     W_tilde[4,1]     -6.09      5.23     -4.82    -14.00      0.55    646.64      1.01
     W_tilde[4,2]     -6.29      2.19     -6.17     -9.97     -3.06    673.97      1.00
     W_tilde[4,3]     -2.58      2.72     -2.30     -7.03      1.49    784.09      1.00
     W_tilde[4,4]     -4.76      2.53     -4.55     -9.01     -0.92   1452.24      1.00
     W_tilde[5,0]      1.09      1.69      1.21     -1.47      3.94   1184.37      1.00
     W_tilde[5,1]      3.26      1.27      3.23      1.21      5.25    495.31      1.00
     W_tilde[5,2]     -1.36      1.51     -1.31     -3.85      1.02   1494.85      1.00
     W_tilde[5,3]      1.21      1.05      1.21     -0.56      2.89   1240.06      1.00
     W_tilde[5,4]     -0.26      1.66     -0.02     -2.91      2.31   1151.54      1.00
     W_tilde[6,0]     -8.47      2.46     -8.37    -12.55     -4.52    186.32      1.00
     W_tilde[6,1]     -8.50      5.79     -7.17    -17.17     -0.28    378.62      1.01
     W_tilde[6,2]      7.11      1.40      7.05      4.95      9.42    360.56      1.00
     W_tilde[6,3]     -1.35      2.79     -0.82     -5.69      2.84    707.40      1.01
     W_tilde[6,4]     -1.20      2.04     -0.89     -4.90      1.62   1184.22      1.00
     W_tilde[7,0]     -5.49      2.19     -5.34     -9.41     -2.35    402.13      1.00
     W_tilde[7,1]      4.65      1.69      4.51      1.59      7.00    486.39      1.01
     W_tilde[7,2]      5.11      1.45      4.96      3.12      7.74    481.71      1.00
     W_tilde[7,3]      3.37      1.17      3.35      1.40      5.19    434.23      1.00
     W_tilde[7,4]      0.97      1.68      1.12     -1.66      3.68   1435.53      1.00
     W_tilde[8,0]     -3.01      1.94     -2.89     -5.84      0.30    841.68      1.00
     W_tilde[8,1]     -7.82      5.65     -7.02    -16.41      1.43    805.28      1.00
     W_tilde[8,2]      2.08      1.39      2.14     -0.16      4.38    776.35      1.00
     W_tilde[8,3]     -3.10      2.41     -2.76     -6.81      0.43    799.76      1.00
     W_tilde[8,4]     -0.36      2.21      0.18     -3.90      3.02    772.15      1.00
     W_tilde[9,0]     -3.13      1.82     -2.97     -5.87     -0.26    735.07      1.01
     W_tilde[9,1]     18.04      3.83     17.74     12.06     23.90    281.22      1.00
     W_tilde[9,2]      3.32      1.01      3.29      1.57      4.90    745.80      1.00
     W_tilde[9,3]      7.50      1.78      7.35      4.60     10.24    401.46      1.00
     W_tilde[9,4]      5.25      1.56      5.15      2.74      7.75    691.24      1.00
    W_tilde[10,0]     -1.87      1.44     -1.64     -4.16      0.29    839.84      1.00
    W_tilde[10,1]      9.20      2.06      9.07      5.94     12.55    212.75      1.01
    W_tilde[10,2]      1.76      0.92      1.74      0.38      3.31    665.13      1.00
    W_tilde[10,3]      3.86      1.04      3.76      2.12      5.54    476.75      1.00
    W_tilde[10,4]      2.37      1.06      2.32      0.73      4.25    741.97      1.00
    W_tilde[11,0]      5.72      1.70      5.57      3.06      8.47    584.42      1.00
    W_tilde[11,1]     -7.77      5.36     -6.76    -15.36      0.56    710.33      1.00
    W_tilde[11,2]     -4.95      1.94     -4.79     -8.33     -1.99    831.46      1.00
    W_tilde[11,3]     -3.31      2.52     -2.97     -7.14      0.46    776.17      1.00
    W_tilde[11,4]     -4.26      2.22     -4.01     -7.22     -0.39    853.65      1.00
    W_tilde[12,0]      5.05      1.55      4.93      2.48      7.50    691.14      1.00
    W_tilde[12,1]      6.57      1.72      6.45      3.69      9.10    537.67      1.00
    W_tilde[12,2]     -4.02      1.57     -3.93     -6.45     -1.34    902.31      1.00
    W_tilde[12,3]      1.12      0.86      1.17     -0.27      2.55   1101.49      1.00
    W_tilde[12,4]      1.49      0.70      1.47      0.30      2.57    684.58      1.01
    W_tilde[13,0]      0.76      1.39      0.86     -1.55      2.88   1252.33      1.00
    W_tilde[13,1]     -6.87      5.00     -6.04    -14.26      0.47    672.83      1.00
    W_tilde[13,2]     -1.61      1.24     -1.54     -3.67      0.30   1362.42      1.00
    W_tilde[13,3]     -3.04      2.42     -2.71     -6.80      0.73    839.66      1.00
    W_tilde[13,4]     -1.62      2.30     -1.12     -5.29      1.35    704.16      1.00
    W_tilde[14,0]      7.52      1.79      7.34      4.57     10.28    465.48      1.00
    W_tilde[14,1]     -4.20      5.68     -2.45    -13.53      2.46    566.02      1.00
    W_tilde[14,2]     -6.17      1.90     -6.23     -9.35     -3.03    504.14      1.00
    W_tilde[14,3]     -2.12      2.57     -1.57     -6.37      1.58    714.74      1.00
    W_tilde[14,4]     -3.88      2.42     -3.51     -7.04      0.04    807.66      1.00
    W_tilde[15,0]     -3.29      1.75     -3.30     -5.80     -0.17    891.90      1.00
    W_tilde[15,1]     -8.34      6.59     -7.55    -18.19      1.15    701.88      1.01
    W_tilde[15,2]      2.47      0.82      2.52      1.13      3.72   1043.72      1.00
    W_tilde[15,3]     -2.01      2.99     -1.63     -6.20      2.69    829.59      1.00
    W_tilde[15,4]     -2.76      1.94     -2.47     -5.48      0.27    869.44      1.00
    W_tilde[16,0]     -1.28      1.58     -1.18     -3.62      1.30   1067.73      1.00
    W_tilde[16,1]     -1.81      4.35     -1.32     -7.36      5.43    867.61      1.00
    W_tilde[16,2]      0.26      1.36      0.33     -1.90      2.42    926.34      1.00
